sender_id,sender_id_link,date,user goal (if supported),user goal fullfilled,user goal (not supported) ,reason for failure,details on failure / comments
,https://website-demo.rasa.com/conversations/dad7addcc07746dc8c2b22fc32548c79,09.11.2018,oos,no,thankyou,,
,,09.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/f865f72ce5d04a729dff5708b6bd0e3f,09.11.2018,rasa_help,no,,technical question NLU,
,,09.11.2018,sales,no,,user left,
,,09.11.2018,chitchat,yes,,,
,,09.11.2018,whatspossible,yes,,,
,https://website-demo.rasa.com/conversations/a19803fb90ee4fdeb1d4e23e4c4263bc,09.11.2018,oos,no,facts about cats,NLU,
,,09.11.2018,-,,,,
,,09.11.2018,subscribe,no,,user left,
,https://website-demo.rasa.com/conversations/2f02b48d5a7b4f3fae1551cc99ec7cee/1541754952.971115,09.11.2018,rasa_help,no,how do i use fasttext with spacy scikitlearn,wrong action pipeline?,
,,09.11.2018,subscribe,yes,,,
,,09.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/193689e5db02494e8e6be5ae9b5ee667,09.11.2018,oos,no,languages,NLU,
,,09.11.2018,-,,,,
,,09.11.2018,subscribe,yes,,,
,,09.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/0d7c0b7fc1ba4c7794975c7560e7192d,09.11.2018,oos,no,weird stuff ,not gracefully,
,https://website-demo.rasa.com/conversations/9ad42483af6f467daef650142554145f,09.11.2018,oos,yes,what are you doing,,
,,09.11.2018,-,,,,
,,09.11.2018,-,,,,
,,09.11.2018,-,,,,
,,09.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/ae270ce418b74733b344e38e09aec3da,09.11.2018,chitchat,no,,"restarted conv after second ""hi""",
,,09.11.2018,chitchat,yes,,,
,,09.11.2018,-,,,,
,,09.11.2018,-,,,,
,,09.11.2018,-,,,,
,,09.11.2018,oos,yes,sample code,https://website-demo.rasa.com/conversations/7d92c34c91ac416b909a27081c8a8897,
,,09.11.2018,-,,,,
,,09.11.2018,oos,yes,what time is it,,
,,09.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,-,,,,
,,08.11.2018,chitchat,yes,,,
,https://website-demo.rasa.com/conversations/c9392342a96f48b4a6ea8d4d9bcb479d,08.11.2018,oos,no,restaurant search,NLU,
,,08.11.2018,subscribe,yes,,,
,,08.11.2018,oos,yes,i was lying,,
,,08.11.2018,-,,,,
